organoid_type,doi,pmcid,first_author,year,journal,species,source_cell_type,license,has_methods,has_supplement,gold_candidate,flags,notes,pmid,title,cited_by,in_current_corpus
cardiac,10.1016/j.xpro.2026.104411,PMC12992950,O'Hern,2026,STAR protocols,tbd,tbd,CC-BY-NC,yes,tbd,yes,protocol-journal,auto: europepmc CITED/recency pull,41790550,Protocol to generate immunocompetent human heart-macrophage assembloids for the study of immune-cardiac interactions,0,no
cardiac,10.1242/dev.143438,PMC5358113,Giacomelli,2017,"Development (Cambridge, England)",tbd,tbd,CC-BY,yes,tbd,yes,tbd,auto: europepmc CITED/recency pull,28279973,Three-dimensional cardiac microtissues composed of cardiomyocytes and endothelial cells co-differentiated from human pluripotent stem cells,236,no
cardiac,10.1038/s41467-020-18031-5,PMC7471119,Lee,2020,Nature communications,tbd,tbd,CC-BY,yes,tbd,tbd,tbd,auto: europepmc CITED/recency pull,32883967,In vitro generation of functional murine heart organoids via FGF4 and extracellular matrix,105,no
cardiac,10.1038/s41536-021-00140-4,PMC8169890,Tenreiro,2021,NPJ Regenerative medicine,tbd,tbd,CC-BY,yes,tbd,tbd,tbd,auto: europepmc CITED/recency pull,34075050,Next generation of heart regenerative therapies: progress and promise of cardiac tissue engineering,98,no
cardiac,10.1038/s41598-022-22225-w,PMC9579206,Ergir,2022,Scientific reports,tbd,tbd,CC-BY,yes,tbd,tbd,tbd,auto: europepmc CITED/recency pull,36257968,Generation and maturation of human iPSC-derived 3D organotypic cardiac microtissues in long-term culture,73,no
cardiac,10.1016/j.stem.2020.05.004,PMC7284308,Giacomelli,2020,Cell stem cell,tbd,tbd,CC-BY,yes,tbd,yes,tbd,auto: europepmc CITED/recency pull,32459996,Human-iPSC-Derived Cardiac Stromal Cells Enhance Maturation in 3D Cardiac Microtissues and Reveal Non-cardiomyocyte Contributions to Heart Disease,466,no
cardiac,10.1038/s41467-021-25329-5,PMC8390749,Lewis-Israeli,2021,Nature communications,tbd,tbd,CC-BY,yes,tbd,yes,tbd,auto: europepmc CITED/recency pull,34446706,Self-assembling human heart organoids for the modeling of cardiac development and congenital heart disease,367,no
cardiac,10.1038/srep08883,PMC4352848,Mathur,2015,Scientific reports,tbd,tbd,CC-BY,yes,tbd,yes,tbd,auto: europepmc CITED/recency pull,25748532,Human iPSC-based cardiac microphysiological system for drug screening applications,364,no
cardiac,10.1038/s41598-018-28393-y,PMC6033897,Archer,2018,Scientific reports,tbd,tbd,CC-BY,yes,tbd,tbd,tbd,auto: europepmc CITED/recency pull,29976997,Characterization and Validation of a Human 3D Cardiac Microtissue for the Assessment of Changes in Cardiac Pathology,99,no
cardiac,10.1038/s41598-020-76062-w,PMC7645446,Abulaiti,2020,Scientific reports,tbd,tbd,CC-BY,yes,tbd,tbd,tbd,auto: europepmc CITED/recency pull,33154509,Establishment of a heart-on-a-chip microdevice based on human iPS cells for the evaluation of human heart tissue function,92,no
